lab,max_t,num_obs,md
growth-rate,10.5,40,4.115654981449544
beta,11.0,40,0.472178274392278
rep-number,11.0,40,1.0689373528831094
growth-rate,11.0,40,4.162735923245491
beta,11.5,40,0.6367489088122504
rep-number,11.5,40,1.2630046037793514
growth-rate,11.5,40,4.202887036883615
beta,12.0,40,0.7828147064519886
rep-number,12.0,40,1.4371211258851844
growth-rate,12.0,40,4.237056139908646
beta,12.5,40,0.9126964633523522
rep-number,12.5,40,1.5935737839033626
growth-rate,12.5,40,4.266071257174096
beta,13.0,40,1.0284190976462873
rep-number,13.0,40,1.7343913060715295
growth-rate,13.0,40,4.290647468848307
beta,13.5,40,1.1317441725405786
rep-number,13.5,40,1.8613666456079065
growth-rate,13.5,40,4.311400414700336
beta,14.0,40,1.2242010035781372
rep-number,14.0,40,1.9760798288528014
growth-rate,14.0,40,4.328858284528292
beta,14.5,40,1.3071105941413448
rep-number,14.5,40,2.079913894409081
growth-rate,14.5,40,4.343472630986215
beta,15.0,40,1.3816124541056851
rep-number,15.0,40,2.174076792947493
growth-rate,15.0,40,4.355627449516475
beta,15.5,40,1.4486904990501133
rep-number,15.5,40,2.2596234285957872
growth-rate,15.5,40,4.365651698161524
beta,16.0,40,1.509197380013049
rep-number,16.0,40,2.337478251874078
growth-rate,16.0,40,4.373825297190987
beta,16.5,40,1.56387196833332
rep-number,16.5,40,2.408450336289661
growth-rate,16.5,40,4.380389595292633
beta,17.0,40,1.6133527288880876
rep-number,17.0,40,2.473245285471841
growth-rate,17.0,40,4.385548993969199
beta,17.5,40,1.6581941361330843
rep-number,17.5,40,2.532481030327568
growth-rate,17.5,40,4.389479439487348
beta,18.0,40,1.6988805210424212
rep-number,18.0,40,2.586701799682056
growth-rate,18.0,40,4.39233309088247
beta,18.5,40,1.735836832495257
rep-number,18.5,40,2.6363892829827162
growth-rate,18.5,40,4.394240648511259
beta,19.0,40,1.7694354668616512
rep-number,19.0,40,2.6819685432138165
growth-rate,19.0,40,4.3953161932946365
beta,19.5,40,1.8000035194443011
rep-number,19.5,40,2.7238156932283686
growth-rate,19.5,40,4.395657641886088
beta,20.0,40,1.8278292861891803
rep-number,20.0,40,2.7622645058573445
growth-rate,20.0,40,4.395350591381514
beta,20.5,40,1.8531676549406209
rep-number,20.5,40,2.7976118827536247
growth-rate,20.5,40,4.394470426868505
beta,21.0,40,1.8762440789913026
rep-number,21.0,40,2.8301223562169815
growth-rate,21.0,40,4.393080952262949
beta,21.5,40,1.8972613272004941
rep-number,21.5,40,2.8600350433248662
growth-rate,21.5,40,4.391240121321483
beta,22.0,40,1.916398666394747
rep-number,22.0,40,2.887562980219745
growth-rate,22.0,40,4.388999353369224
beta,22.5,40,1.9338167909104378
rep-number,22.5,40,2.9128979201814884
growth-rate,22.5,40,4.386402159176239
beta,23.0,40,1.949659012748139
rep-number,23.0,40,2.9362119979985133
growth-rate,23.0,40,4.383486906195969
beta,23.5,40,1.9640536194664202
rep-number,23.5,40,2.9576601629695185
growth-rate,23.5,40,4.380289074862382
beta,24.0,40,1.9771176914215536
rep-number,24.0,40,2.977384327150199
growth-rate,24.0,40,4.376839440692632
beta,24.5,40,1.988955867477899
rep-number,24.5,40,2.9955123033220925
growth-rate,24.5,40,4.373165304165916
beta,25.0,40,1.9996632924421989
rep-number,25.0,40,3.0121609871837274
growth-rate,25.0,40,4.369290381356561
beta,25.5,40,2.009327844381023
rep-number,25.5,40,3.027438549497081
growth-rate,25.5,40,4.365237496504713
beta,26.0,40,2.018027398840122
rep-number,26.0,40,3.041441709185396
growth-rate,26.0,40,4.361025983342913
beta,26.5,40,2.0258329060365625
rep-number,26.5,40,3.0542588513169937
growth-rate,26.5,40,4.356673246101345
beta,27.0,40,2.0328097170345205
rep-number,27.0,40,3.0659716326154953
growth-rate,27.0,40,4.352195016990904
beta,27.5,40,2.0390165067944896
rep-number,27.5,40,3.0766539562881503
growth-rate,27.5,40,4.347605202746935
